temperature_2m_max,temperature_2m_min,windspeed_10m_max,relative_humidity_2m_max,rained_tomorrow
16.6,11.4,21.1,96,1
15.1,8.6,18.1,75,0
14.9,5.8,11.9,85,0
14.4,5.8,9.2,85,1
14.4,6.8,7.2,86,0
12.9,3.5,11.7,86,0
12.4,4.2,21.7,83,1
13.6,7.1,16.7,77,1
16.5,10.9,26.5,99,0
14.8,10.1,27.4,94,0
14.4,7.6,22.0,70,0
14.9,4.0,9.3,90,1
14.0,6.2,16.3,97,0
14.9,8.1,23.1,57,0
18.3,4.0,20.6,75,1
13.7,5.3,23.4,74,0
15.4,1.8,18.2,89,1
18.5,11.9,15.2,95,1
16.4,8.5,16.5,100,1
13.9,2.2,17.3,100,1
4.3,0.8,28.2,63,0
9.2,2.2,15.6,68,1
10.4,5.0,21.1,80,0
10.1,2.9,16.5,80,1
8.8,1.3,13.0,88,1
13.0,4.7,25.8,87,0
6.2,1.4,25.5,60,0
7.9,0.9,16.1,73,1
8.2,2.0,8.7,95,0
7.8,0.0,6.6,82,0
10.9,2.5,14.4,95,1
11.0,4.3,14.2,97,0
7.7,-0.9,12.2,95,0
11.4,4.2,13.5,74,1
12.7,2.9,18.0,95,1
15.4,10.9,17.6,96,0
10.4,2.5,20.0,68,0
5.7,0.1,25.9,65,0
5.8,-0.2,16.0,67,1
4.9,-0.3,12.5,95,0
6.1,-0.3,17.8,90,1
3.0,-1.6,17.2,100,0
4.2,-1.3,17.7,84,1
5.4,-3.4,20.4,80,0
-0.8,-6.7,14.5,76,1
4.3,-1.8,9.7,90,0
5.1,-1.7,11.8,83,0
1.8,-4.4,18.6,80,0
-0.3,-7.4,15.8,67,1
6.4,-0.6,18.3,93,0
4.0,-2.2,24.1,92,0
1.5,-4.8,16.1,61,1
3.8,-4.4,8.0,87,1
0.5,-7.8,19.0,100,0
-2.9,-8.6,18.1,80,0
-2.3,-9.3,11.7,85,0
4.3,-6.4,14.5,75,0
5.9,-4.6,12.2,100,1
14.5,-0.4,30.6,100,0
2.5,-2.1,18.9,70,0
7.9,-1.8,22.8,78,0
3.1,-3.0,14.1,67,1
3.1,0.2,10.8,98,0
7.4,-0.9,24.6,92,0
8.4,-1.6,21.2,86,1
-2.7,-5.8,12.0,94,1
-1.0,-7.3,16.3,98,1
1.0,-11.6,9.4,96,1
7.3,-1.4,23.8,100,0
-0.2,-3.0,25.5,59,0
-0.2,-3.7,16.5,60,1
0.6,-7.1,25.1,73,1
-1.2,-7.3,14.4,74,0
-0.6,-6.7,10.3,58,1
1.0,-4.4,12.1,82,1
0.9,-5.4,12.6,79,1
4.0,-2.2,7.5,96,1
9.4,0.8,18.0,100,0
10.1,1.5,10.5,88,1
10.9,0.3,16.8,95,1
9.2,4.3,14.6,97,1
8.3,1.2,19.3,98,0
4.8,-1.1,22.6,66,0
7.4,-0.7,15.5,70,1
9.9,4.2,10.0,78,1
6.6,-4.4,19.7,87,0
0.1,-5.9,20.7,53,1
2.0,-4.2,10.4,100,1
0.5,-4.6,13.3,100,0
-1.2,-7.1,16.9,91,0
-4.6,-11.4,18.6,69,0
1.2,-15.4,15.8,70,1
6.8,0.9,19.2,69,0
2.2,-7.4,22.0,55,0
-7.4,-13.1,21.5,48,1
-4.8,-12.2,29.8,88,1
-3.2,-8.5,20.0,88,1
-7.3,-13.4,20.8,74,0
-6.8,-13.4,15.4,72,0
-8.1,-15.1,13.8,72,0
-9.3,-15.4,14.6,68,0
-7.2,-18.3,18.7,82,0
-6.6,-14.1,24.1,74,0
-0.9,-11.0,17.8,70,0
-0.9,-13.6,10.0,79,0
-1.1,-10.0,14.5,84,0
-2.5,-13.1,12.4,91,1
-2.4,-12.4,9.5,87,1
-3.7,-16.5,28.8,90,0
-10.1,-17.8,22.2,66,0
-4.0,-14.6,15.8,71,0
-0.2,-9.9,15.3,83,1
3.4,-2.0,17.6,85,0
0.9,-4.2,17.0,75,0
1.1,-8.5,12.9,78,0
3.8,-7.8,10.7,88,1
2.5,-6.2,9.0,95,1
2.1,-2.0,13.0,91,0
